"","atopid","polity","s_wt_glo","maxmajpow","consultatop","nagatop","neutatop","defenseatop","offenseatop","secrecy","conditio","intcom","base","contrib","ecaid","milaid","organ1","specthrt","macowe","maconc","maconp","nmacowe","nmaconc","nmaconp","nmaroir","condother","speclength","condlength","renounceok","renounceproh","renouncecond","milcontact","commondef","lallycount","lsumcap","ldistance","compel","prob","deter","deterministic","unconditional","PotMilCapacity.score","Depth.score","Scope.score","indx"
"232",3245,10,-0.269,1,0,0,0,1,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.693,-3.437,8.656,0,0,1,1,1,0.783,2.548,0.746,228
"233",3255,5,0.34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.693,-4.082,7.72,0,0,0,0,0,-1.027,-0.492,-0.57,229
"234",3260,7.625,0.496,1,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2.079,1.016,8.678,0,1,1,0,0,1.19,-0.171,-0.182,230
"235",3265,5,-0.267,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.693,-2.786,7.689,0,0,0,0,0,0.812,-0.497,-0.561,231
"236",3270,5,0.509,1,0,1,0,1,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.693,-1.247,8.778,0,1,1,0,0,0.907,0.422,-0.101,232
"237",3275,4.6,0.418,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.609,-0.137,7.294,0,0,0,0,0,0.989,-0.179,-0.569,233
"238",3280,5.5,0.03,1,0,0,0,1,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.693,-1.884,7.841,0,1,1,0,0,0.865,2.077,-0.34,234
"239",3285,0,0.983,1,1,1,0,1,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2.079,1.535,5.914,0,1,1,0,0,1.086,0.923,-0.165,235
"240",3290,8.5,-0.032,1,0,0,0,1,0,0,1,0,3,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.693,-1.824,8.702,0,1,1,0,0,0.923,2.39,-0.076,236
"241",3295,5,0.075,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.693,-2.338,7.124,0,0,0,0,0,0.777,-0.345,-0.58,237
"242",3300,2.929,0.972,0,1,0,0,1,0,0,0,1,2,1,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.099,-3.396,5.529,0,0,1,1,0,-1.044,3.392,-0.166,238
"243",3305,0,1,0,1,0,0,1,0,0,0,1,0,1,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.693,-3.898,6.931,0,0,1,1,0,-1.096,2.799,-0.152,239
"244",3310,0.333,1,0,1,0,0,1,0,0,0,1,0,1,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.099,-3.549,6.657,0,0,1,1,0,-1.059,2.815,-0.172,240
"245",3315,5.5,0.105,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693,-2.681,7.03,0,0,0,0,0,0.732,-0.52,-0.575,241
"246",3322,10,0.396,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0.667,0,0.333,0,0,0,0,0,0,0,0,0,0,0,1.099,-1.796,7.32,1,0,0,1,1,0.81,-0.479,2.459,242
"247",3325,0,0.889,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693,-7.264,0,0,0,1,1,0,-1.464,-0.481,-0.164,243
